bike_station_name,num_of_bikes,restaurant_name,foursquare_address,yelp_address
Hess at king,3,Coop Wicked Chicken Hamilton,274 King St W,
Hess at king,3,Coop Hamilton,274 King St W,
Hess at king,3,Papagayo,246 King St W,
Hess at king,3,The Moghul's,288 Mud St W,
Hess at king,3,Island Carribbean Takeout & Catering,228 King St W,
Hess at king,3,Sunrise Restaurant,242 King St W,
Hess at king,3,The Strathcona,306 King St W,
Hess at king,3,La Luna Restaurant Downtown,306 King St W,
Hess at king,3,Smoke's Poutinerie,112 George St,
Hess at king,3,Pita Pit,2 King St W,
Hess at king,3,Meltwich,,236 King St WNone
Hess at king,3,Bastoni's Shawarma & Grill,,234 King Street W
Hess at king,3,The Gown & Gavel,,24 Hess Street S
Hess at king,3,Koi,,27 Hess St S
Hess at king,3,Electric Diner,,96 George StreetNone
Hess at king,3,Vida La Pita,,217 King Street W
Hess at king,3,Moodys,,107 George StreetNone
Hess at king,3,A&W,,194 King Street West
Bay at Strachan,0,Hutch's Harbour Front,325 Bay St N,
Bay at Mulberry,7,Crystal Dynasty Chinese Restaurant,94 Cannon St W,
Bay at Mulberry,7,Park Street Café,141 Park St N,
James S at Charlton,7,Red Crow Coffee,211 James St S,
James S at Charlton,7,Wass Ethiopian Restaurant,207 James St N,
James S at Charlton,7,Bronzie's Place,201 James St S,
James S at Charlton,7,Royal Pizza,180 James St S,
James S at Charlton,7,La Piazza Allegra,180 James St S,
James S at Charlton,7,Royal Pizza & Wings,,180 James Street S
Oxford at York,5,Stonewalls,339 York Blvd,
Queen at Peter,9,Buona Vita Pizza,82 Queen St N,
Queen at Peter,9,Adobo Queen,82 Queen St N,
Queen at Peter,9,Stonewalls,339 York Blvd,
West at Cannon,1,Korea House,281 Cannon St E,
West at Cannon,1,KFC,307 Cannon St E,
West at Cannon,1,Plaza Pizza & Wings,,90 Wellington Street NNone
Forsyth at Sterling,5,Willy Dog,Scholars Rd,
H.A.A.A. Park,3,Tomah,132 Queen St S,
H.A.A.A. Park,3,Queen's Pizza & Wings,,178 Queen Street S
Hunter at Hess,17,Tomah,132 Queen St S,
Hunter at Hess,17,Queen's Pizza & Wings,,178 Queen Street S
Dunsmure at Sherman - ERI10,2,Bruno's Pizza & Wings,,718 Main Street E
Dunsmure at Sherman - ERI10,2,Queens Pizza And Wings,,716 Main St ENone
Dunsmure at Sherman - ERI10,2,Queen's Pizza & Wings,,838 King Street E
King at Dunsmure - ERI09,3,Hi-Line Centre Pizza & Wings,,1150 King Street E
York at Inchbury,9,Pho Lac Vien,430 York Blvd,
King at Dundurn,6,KFC,631 King St W,
King at Dundurn,6,Halibut House,50 Dundurn St S,
King at Dundurn,6,Pizza Hut,610 King St W,
King at Dundurn,6,Mr Dumpling Express,50 Dundurn St S,
King at Dundurn,6,Pizza Pizza,,50 Dundurn Street SUnit 4
Main at Dundurn,8,Shehnai Restaurant,447 Main St W,
Main at Dundurn,8,Subway,50 Dundurn St S,
Main at Dundurn,8,Halibut House,50 Dundurn St S,
Main at Dundurn,8,McDonald's,,50 Dundurn Street South
Main at Dundurn,8,Pizza Pizza,,50 Dundurn Street SUnit 4
McMaster Health Sciences,7,Corner Cafe,1280 Main St E,
McMaster Arthur Bourns,10,McMaster Children's Hospital Cafeteria,1200 Main St W,
McMaster Emerson,3,Cedars,1355 Main St W,
McMaster Emerson,3,Pinks Burgers,1335 Main St W,
McMaster Emerson,3,Williams Coffee Pub,1309 Main St W,
McMaster Emerson,3,Taco Del Mar,,1331-1335 Main St W.None
McMaster Emerson,3,Subway,,1335 Main Street W
McMaster Emerson,3,Gino's Pizza,,1309 Main Street W
Longwood at King,9,Hamilton Kosher,881 King St W,
Longwood at King,9,Westdale Delicatessen,893 King St W,
Longwood at King,9,Valentino's Restaurant,824 King St W,
Macklin at King,12,Phin Coffee Bar,804 King St W,
Macklin at King,12,Breezy Corners,1480 6 Hwy N,
Dundurn at Aberdeen,12,Dundurn Market,346 Dundurn St S,
Dundurn at Aberdeen,12,Aberdeen Tavern,432 Aberdeen Ave,
Dundurn at Aberdeen,12,Cake and Loaf Bakery,321 Dundurn St S,
Dundurn at Aberdeen,12,BN Local,,303 Dundurn Street SNone
Cootes Drive Dundas,0,Ya'd Never Know Bakery,72 King St E,
Cootes Drive Dundas,0,Subway,38 York Rd,
Cootes Drive Dundas,0,Chan's Chinese Restaurant,49 King St E,
Cootes Drive Dundas,0,McDonald's,,10 Cootes Drive
Pearl Street Bridge,0,The Lockesmith,137 Locke St S,
Pearl Street Bridge,0,AMO Gelato Caffe,171 Locke St N,
Westdale Library,1,Weil's of Westdale Bakery,981 King St W,
Westdale Library,1,Dragon Court Restaurant,988 King St W,
Westdale Library,1,Second Cup Coffee Co,1004 King St W,
Westdale Library,1,Delirious Burger Co,1008 King St W,
Westdale Library,1,Westdale Delicatessen,893 King St W,
Westdale Library,1,Nannaa Persian Eatery,1010 King St W,
Westdale Library,1,Pizza Nova,1016 King St W,
Westdale Library,1,Subway,1018 King St W,
Westdale Library,1,The Burnt Tongue,1019 King St W,
Westdale Library,1,Hamilton Kosher,881 King St W,
King at Cline,9,Pita Pit,1056 King St W,
King at Cline,9,The Meatball Shoppe,1063 King St W,
