name,yelp_latitude,yelp_longitude,yelp_address
Hot Stone Pizza and Shawarma,43.25827,-79.84384,524 Barton Street ENone
Giuseppe's Italian Cuisine & Pizza,43.2513402662521,-79.8446745425463,762 King Street E
Mendonça Café,43.2592196028682,-79.8462335765362,457 Barton Street E
sams tavern,43.2568016,-79.8381882,632 Barton Street E
Queen's Pizza & Wings,43.25113,-79.84123,838 King Street E
Maipai,43.25726,-79.83817,631 Barton Street ENone
Pho Asparagus,43.2597392638895,-79.8488875923641,387 Barton Street ENone
BAB Korean Food & BBQ,43.26012,-79.84875,387 Barton Street ENone
Traphouse Burgerz,43.25278,-79.85279,535 King Street ENone
Narulas Express,43.2526633276104,-79.8528975248337,535 King Street EastNone
Mimi’s Asian Gourmet,43.2514005,-79.8356242,971 King Street ENone
Pizza World,43.2512742,-79.8519943,447 Main Street ENone
Diamantino's Pizza,43.26063,-79.85098,341 Barton Street ENone
KFC,43.25761,-79.85359,307 Cannon Street ENone
Queens Pizza And Wings,43.247761,-79.841008,716 Main St ENone
Saha,43.2475,-79.84265,28 Eastbourne AvenueNone
Bruno's Pizza & Wings,43.24774233996836,-79.84079221220793,718 Main Street E
Korea House,43.2579156,-79.854948,281 Cannon Street E
Dukes Pub Pasta & Pizzeria,43.26095,-79.85251,303 Barton Street ENone
Festival Café,43.25064,-79.83303,1013 King St ENone
